paper_id,filename,word,count
1,navigating-through-renewed-economic-uncertainty_3.pdf,young,39
1,navigating-through-renewed-economic-uncertainty_3.pdf,epp,36
1,navigating-through-renewed-economic-uncertainty_3.pdf,youth,19
1,navigating-through-renewed-economic-uncertainty_3.pdf,elections,17
1,navigating-through-renewed-economic-uncertainty_3.pdf,economic,16
1,navigating-through-renewed-economic-uncertainty_3.pdf,living,15
1,navigating-through-renewed-economic-uncertainty_3.pdf,parliament,15
1,navigating-through-renewed-economic-uncertainty_3.pdf,social,15
1,navigating-through-renewed-economic-uncertainty_3.pdf,voters,13
1,navigating-through-renewed-economic-uncertainty_3.pdf,citizens,12
1,navigating-through-renewed-economic-uncertainty_3.pdf,younger,11
1,navigating-through-renewed-economic-uncertainty_3.pdf,eurobarometer,11
1,navigating-through-renewed-economic-uncertainty_3.pdf,ukraine,10
1,navigating-through-renewed-economic-uncertainty_3.pdf,cost,9
1,navigating-through-renewed-economic-uncertainty_3.pdf,pereira,9
1,navigating-through-renewed-economic-uncertainty_3.pdf,party,8
1,navigating-through-renewed-economic-uncertainty_3.pdf,inflation,8
1,navigating-through-renewed-economic-uncertainty_3.pdf,commission,8
1,navigating-through-renewed-economic-uncertainty_3.pdf,support,7
1,navigating-through-renewed-economic-uncertainty_3.pdf,strategy,7
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,war,102
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,ukraine,72
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,russia,56
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,defence,53
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,military,49
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,security,47
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,nato,45
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,china,23
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,strategic,23
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,russian,20
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,foreign,20
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,international,18
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,relations,17
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,peace,17
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,york,16
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,invasion,15
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,germany,15
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,power,14
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,council,14
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf,giusti,14
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,trump,49
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,defence,38
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,administration,29
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,ukraine,18
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,transatlantic,17
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,tariffs,15
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,relations,13
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,russia,13
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,security,12
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,global,11
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,american,11
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,president,10
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,peace,10
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,washington,9
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,nato,9
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,china,8
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,allies,8
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,cooperation,8
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,ciolan,7
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf,moyer,7
4,why-there-cannot-be-climate-refugees__Climate-Refugees-In-Brief.pdf,climate,49
4,why-there-cannot-be-climate-refugees__Climate-Refugees-In-Brief.pdf,migration,23
4,why-there-cannot-be-climate-refugees__Climate-Refugees-In-Brief.pdf,refugee,23
4,why-there-cannot-be-climate-refugees__Climate-Refugees-In-Brief.pdf,convention,18
4,why-there-cannot-be-climate-refugees__Climate-Refugees-In-Brief.pdf,international,15
4,why-there-cannot-be-climate-refugees__Climate-Refugees-In-Brief.pdf,legal,10
4,why-there-cannot-be-climate-refugees__Climate-Refugees-In-Brief.pdf,protection,9
4,why-there-cannot-be-climate-refugees__Climate-Refugees-In-Brief.pdf,refugees,8
4,why-there-cannot-be-climate-refugees__Climate-Refugees-In-Brief.pdf,global,8
4,why-there-cannot-be-climate-refugees__Climate-Refugees-In-Brief.pdf,asylum,8
4,why-there-cannot-be-climate-refugees__Climate-Refugees-In-Brief.pdf,definition,6
4,why-there-cannot-be-climate-refugees__Climate-Refugees-In-Brief.pdf,induced,6
4,why-there-cannot-be-climate-refugees__Climate-Refugees-In-Brief.pdf,persecution,6
4,why-there-cannot-be-climate-refugees__Climate-Refugees-In-Brief.pdf,teitiota,6
4,why-there-cannot-be-climate-refugees__Climate-Refugees-In-Brief.pdf,zealand,6
4,why-there-cannot-be-climate-refugees__Climate-Refugees-In-Brief.pdf,hrc,6
4,why-there-cannot-be-climate-refugees__Climate-Refugees-In-Brief.pdf,human,5
4,why-there-cannot-be-climate-refugees__Climate-Refugees-In-Brief.pdf,regime,5
4,why-there-cannot-be-climate-refugees__Climate-Refugees-In-Brief.pdf,scenarios,5
4,why-there-cannot-be-climate-refugees__Climate-Refugees-In-Brief.pdf,nationality,5
5,coming-out-of-the-shadows-the-european-stability-mechanism-and-euro-area-governance__Martens-Centre-Policy-Brief-1.pdf,esm,173
5,coming-out-of-the-shadows-the-european-stability-mechanism-and-euro-area-governance__Martens-Centre-Policy-Brief-1.pdf,economic,74
